tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_common,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borough,cncldist,st_assem,st_senate,nta,nta_name,latitude,longitude
333132,315421,2015-10-15,0,12,OnCurb,stump,unknown,unknown,No,No,No,No,No,No,No,No,No,13-027 PARSONS BOULEVARD,11357,Whitestone,407,queens,19,26,11,QN49,Whitestone,40.78795903,-73.82273988
510149,338343,2015-12-10,4,0,OnCurb,alive,good,shingle oak,No,No,No,No,No,No,No,No,No,95-002 SHORE FRONT PARKWAY,11693,Far Rockaway,414,queens,32,23,10,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,40.58384174,-73.81620181
313597,108087,2015-10-12,4,0,OnCurb,alive,good,sweetgum,Yes,No,No,No,No,No,No,No,No,315 EAST 93 STREET,10128,New York,108,manhattan,5,73,29,MN32,Yorkville,40.78196188,-73.94753639
126235,213818,2015-08-07,2,0,OnCurb,dead,unknown,unknown,No,No,No,No,No,No,No,No,No,33 PAERDEGAT 10 STREET,11236,Brooklyn,318,brooklyn,46,59,19,BK50,Canarsie,40.62938383,-73.9052367
255652,111286,2015-09-24,6,0,OnCurb,alive,good,sophora,No,No,No,No,No,No,No,No,No,607 WEST 190 STREET,10040,New York,112,manhattan,10,72,31,MN35,Washington Heights North,40.85528244,-73.93036975
118347,216903,2015-08-04,15,0,OnCurb,alive,good,japanese zelkova,No,No,No,No,No,No,No,No,No,529 BEDFORD AVENUE,11249,Brooklyn,301,brooklyn,33,50,18,BK72,Williamsburg,40.70517387,-73.96240708
301903,409964,2015-10-09,2,0,OnCurb,alive,good,japanese tree lilac,No,No,No,No,No,No,No,No,No,260 SHORE ROAD,10307,Staten Island,503,staten island,51,62,24,SI11,Charleston-Richmond Valley-Tottenville,40.50596892,-74.24957508
22686,404018,2015-06-16,7,0,OnCurb,alive,fair,maple,No,No,No,No,No,No,No,No,No,29 CITY BOULEVARD,10301,Staten Island,501,staten island,49,61,24,SI35,New Brighton-Silver Lake,40.63031477,-74.10522672
722162,329061,2016-09-25,3,0,OnCurb,alive,fair,littleleaf linden,No,No,No,No,No,No,No,No,No,168-048 92 ROAD,11433,Jamaica,412,queens,27,29,11,QN61,Jamaica,40.7058637,-73.79037488
293907,509341,2015-10-07,2,0,OnCurb,alive,good,golden raintree,No,No,No,No,No,No,No,No,No,2780 SAMPSON AVENUE,10465,Bronx,210,bronx,13,82,34,BX52,Schuylerville-Throgs Neck-Edgewater Park,40.81897531,-73.82220724
564097,314280,2016-05-22,12,0,OnCurb,alive,good,littleleaf linden,No,No,No,No,No,No,No,No,No,145-004 21 AVENUE,11357,Whitestone,407,queens,19,40,11,QN49,Whitestone,40.78037219,-73.8228967
506024,410962,2015-12-09,5,0,OnCurb,alive,good,siberian elm,No,No,No,No,No,No,No,No,No,410 RETFORD AVENUE,10312,Staten Island,503,staten island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,40.53346024,-74.15564101
232496,304261,2015-09-17,17,0,OnCurb,alive,fair,london planetree,No,No,No,No,No,No,Yes,No,Yes,37-006 61 STREET,11377,Woodside,402,queens,26,34,12,QN63,Woodside,40.74926516,-73.90182513
125320,110260,2015-08-07,11,0,OnCurb,alive,good,sophora,Yes,No,No,No,No,No,No,No,No,106 EAST 117 STREET,10035,New York,111,manhattan,8,68,30,MN34,East Harlem North,40.79977378,-73.9424046
597515,315357,2016-06-22,5,0,OnCurb,alive,good,swamp white oak,No,No,No,No,No,No,No,No,No,14-031 158 STREET,11357,Whitestone,407,queens,19,26,11,QN49,Whitestone,40.7882231,-73.80411532
185884,505637,2015-08-29,4,0,OnCurb,alive,fair,norway maple,No,No,No,No,No,No,Yes,No,No,476 EAST 187 STREET,10458,Bronx,206,bronx,15,78,33,BX01,Claremont-Bathgate,40.85777373,-73.89148027
263174,220312,2015-09-27,17,0,OnCurb,alive,good,willow oak,Yes,No,No,No,No,No,No,No,No,34 SCHENECTADY AVENUE,11213,Brooklyn,303,brooklyn,36,56,25,BK61,Crown Heights North,40.6782809,-73.93293087
148693,331920,2015-08-15,4,0,OnCurb,alive,good,honeylocust,No,No,No,No,No,No,No,No,No,136-001 BROOKVILLE BOULEVARD,11422,Rosedale,413,queens,31,29,14,QN05,Rosedale,40.67076163,-73.73563103
383028,405037,2015-10-27,16,0,OnCurb,alive,good,callery pear,No,No,No,No,No,No,No,No,No,316 ST JOHNS AVENUE,10305,Staten Island,501,staten island,49,64,23,SI37,Stapleton-Rosebank,40.60739819,-74.07397632
250427,227747,2015-09-23,13,0,OnCurb,alive,fair,callery pear,No,No,No,No,No,No,No,No,No,1060 EAST 8 STREET,11230,Brooklyn,312,brooklyn,44,48,17,BK43,Midwood,40.6233374,-73.96787387
119073,109034,2015-08-04,8,0,OnCurb,alive,fair,sugar maple,No,No,No,No,No,No,No,No,No,1421 5 AVENUE,10026,New York,110,manhattan,9,70,30,MN11,Central Harlem South,40.80092132,-73.946401
138246,337739,2015-08-12,5,0,OnCurb,alive,fair,sophora,No,No,No,No,No,No,No,No,No,222-016 MERRICK BOULEVARD,11413,Springfield Gardens,413,queens,31,29,14,QN66,Laurelton,40.67811071,-73.74635925
477375,209751,2015-11-21,23,0,OnCurb,alive,fair,pin oak,No,No,No,No,No,No,No,No,No,2270 PLUMB 1 STREET,11229,Brooklyn,315,brooklyn,46,41,19,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,40.59797456,-73.93269367
39413,307321,2015-06-29,4,0,OnCurb,alive,fair,japanese zelkova,No,No,No,No,No,No,No,No,No,180-012 UNION TURNPIKE,11432,Jamaica,408,queens,24,24,11,QN41,Fresh Meadows-Utopia,40.72707807,-73.78766335
192444,327357,2015-08-31,21,0,OnCurb,alive,good,littleleaf linden,Yes,No,No,No,No,No,Yes,No,No,117-001 202 STREET,11412,Saint Albans,412,queens,27,33,14,QN08,St. Albans,40.69506136,-73.74973009
618418,204384,2016-07-08,4,0,OnCurb,alive,good,northern red oak,No,No,No,No,No,No,No,No,No,8003 HARBOR VIEW TERRACE,11209,Brooklyn,310,brooklyn,43,64,22,BK31,Bay Ridge,40.63016573,-74.0379616
695241,312121,2016-09-02,10,0,OnCurb,alive,good,green ash,No,No,No,No,No,No,No,No,No,153-020 SANFORD AVENUE,11355,Flushing,407,queens,20,40,16,QN52,East Flushing,40.76122937,-73.8115314
679784,306190,2016-08-25,13,0,OnCurb,alive,good,norway maple,No,No,No,No,No,No,No,No,No,141-035 70 ROAD,11367,Flushing,408,queens,24,27,15,QN37,Kew Gardens Hills,40.72850424,-73.82345284
117652,214540,2015-08-04,3,0,OnCurb,alive,good,eastern redcedar,No,No,No,No,No,No,No,No,No,1414 EAST 98 STREET,11236,Brooklyn,318,brooklyn,46,58,19,BK50,Canarsie,40.63839664,-73.89342014
167472,225110,2015-08-22,11,0,OnCurb,alive,good,honeylocust,No,No,No,No,No,No,No,No,No,228 48 STREET,11220,Brooklyn,307,brooklyn,38,51,25,BK32,Sunset Park West,40.64961395,-74.01488087
478921,339493,2015-11-23,18,0,OnCurb,alive,good,london planetree,No,No,No,No,No,No,No,No,No,11-025 WATERVIEW STREET,11691,Far Rockaway,414,queens,31,23,10,QN15,Far Rockaway-Bayswater,40.60447048,-73.76781379
164392,104471,2015-08-21,4,0,OnCurb,alive,fair,japanese zelkova,No,No,Yes,No,No,No,No,No,Yes,29 EAST 32 STREET,10016,New York,105,manhattan,2,75,28,MN17,Midtown-Midtown South,40.74633758,-73.98343818
157860,301544,2015-08-18,2,0,OnCurb,alive,fair,sophora,No,No,No,No,No,No,No,No,No,41-014 23 AVENUE,11105,Astoria,401,queens,22,36,12,QN72,Steinway,40.77020047,-73.90710776
109396,220883,2015-08-01,14,0,OnCurb,alive,good,chinese elm,No,No,Yes,No,No,No,No,No,No,143 QUINCY STREET,11216,Brooklyn,303,brooklyn,36,57,25,BK69,Clinton Hill,40.68645679,-73.95540427
